ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MEDIO
2018;42250;35042250;20204;PINDAMONHANGABA;JOSE PINTO MARCONDES PESTANA PROFESSOR;PINDAMONHANGABA;;;2.8300000000
2018;40836;35040836;20204;PINDAMONHANGABA;YONNE CESAR GUAYCURU DE OLIVEIRA PROFESSORA;PINDAMONHANGABA;;;2.5800000000
2018;13432;35013432;20204;PINDAMONHANGABA;GABRIELLA MONTEIRO DE ATHAYDE MARCONDES PROFESSORA;PINDAMONHANGABA;;5.0000000000;3.9900000000
2018;925913;35925913;20204;PINDAMONHANGABA;DEMETRIO IVAHY BADARO DOUTOR;PINDAMONHANGABA;;2.2800000000;1.6400000000
2018;32136;35032136;20909;MIRANTE DO PARANAPANEMA;FRANCISCO PIERGENTILE;ROSANA;;2.7600000000;2.5700000000
2018;903620;35903620;20909;MIRANTE DO PARANAPANEMA;GLEBA XV DE NOVEMBRO;ROSANA;6.1400000000;5.4400000000;3.5600000000
2018;15118;35015118;20305;ITAPEVA;ARLINDO VIEIRA PADRE;CAPAO BONITO;;;4.1300000000
2018;35166;35035166;21102;REGISTRO;MARIA APARECIDA VIANA MUNIZ PROFESSORA;ELDORADO;;3.6200000000;
2018;924489;35924489;21102;REGISTRO;MARIA ANTONIA CHULES PRINCS;ELDORADO;;3.0200000000;2.9100000000
2018;35212;35035212;21102;REGISTRO;MARIA DAS DORES VIANA PEREIRA PROFESSORA;ELDORADO;;3.3000000000;2.5800000000
2018;28061;35028061;20502;BARRETOS;MARIA UBALDINA DE BARROS FURQUIM PROFESSORA;OLIMPIA;;3.3700000000;2.5400000000
2018;20552;35020552;20409;MOGI MIRIM;SANTO ANTONIO;SANTO ANTONIO DE POSSE;;;2.6900000000
2018;909555;35909555;20602;JAU;IZABEL SILVEIRA MELLO SOARES DONA (DONA SINHA);BROTAS;;2.8000000000;1.8000000000
2018;922584;35922584;20901;ADAMANTINA;MARIA APARECIDA LOPES PROFA;OSVALDO CRUZ;;3.2800000000;2.4800000000
2018;21726;35021726;20408;LIMEIRA;MICHEL ANTONIO ALEM PROFESSOR;RIO CLARO;;3.7700000000;2.5300000000
2018;21702;35021702;20408;LIMEIRA;JOAO BATISTA LEME PROFESSOR;RIO CLARO;;4.0300000000;2.1000000000
2018;904485;35904485;10602;MAUA;CORA CORALINA POETISA;RIO GRANDE DA SERRA;5.1100000000;2.7700000000;2.2900000000
2018;20801;35020801;20419;CAPIVARI;FABIANO JOSE MOREIRA CAMARGO PADRE;CAPIVARI;;3.3600000000;2.3800000000
2018;16494;35016494;20304;ITAPETININGA;ALTINA MAYNARDES ARAUJO PROFA;TATUI;;2.8100000000;2.2900000000
2018;16627;35016627;20304;ITAPETININGA;BARAO DE SURUI;TATUI;;4.2200000000;3.8600000000
2018;905343;35905343;20304;ITAPETININGA;SEMIRAMIS TURELLI AZEVEDO PROFA;TATUI;;3.1500000000;2.6100000000
2018;24211;35024211;20507;RIBEIRAO PRETO;RITA FERRAZ CASELLI PROFESSORA;SANTA CRUZ DA ESPERANCA;;;3.9000000000
2018;35836;35035836;20602;JAU;MARIA LUIZA FERREIRA ZAMBELLO PROFESSORA;BARRA BONITA;;3.7800000000;2.2800000000
2018;909518;35909518;20409;MOGI MIRIM;SEBASTIAO GOMES;CONCHAL;;3.7800000000;2.4100000000
2018;25409;35025409;20601;BAURU;FRANCISCO DE PAULA ABREU SODRE DR;UBIRAJARA;;2.8000000000;1.6000000000
2018;920204;35920204;20307;SAO ROQUE;BAIRRO VERAVA;IBIUNA;;3.6900000000;3.4500000000
2018;15854;35015854;20307;SAO ROQUE;FREDERICO MARCICANO;IBIUNA;;4.0600000000;3.0700000000
2018;16056;35016056;20307;SAO ROQUE;LAURINDA VIEIRA PINTO PROFESSORA;IBIUNA;;3.4200000000;2.7600000000
2018;27121;35027121;20702;FERNANDOPOLIS;LESBINO DE SOUZA ALKIMIN;POPULINA;;4.3100000000;4.9800000000
2018;913741;35913741;20310;VOTORANTIM;BENEDICTO RODRIGUES PROFESSOR;SALTO DE PIRAPORA;;5.8300000000;
2018;23991;35023991;20507;RIBEIRAO PRETO;JOSE COSTA DEPUTADO;SERRANA;;3.3200000000;2.7700000000
2018;19653;35019653;20407;JUNDIAI;MANOEL JOSE DA FONSECA;ITUPEVA;;3.3900000000;2.7400000000
2018;909488;35909488;20407;JUNDIAI;JOSE DE ANCHIETA PADRE;ITUPEVA;;2.8600000000;2.2200000000
2018;919724;35919724;20205;SAO JOSE DOS CAMPOS;ZILAH FERREIRA VIAGI PASSARELLI DE CAMPOS PROFESSORA;SAO JOSE DOS CAMPOS;;3.6500000000;2.8900000000
2018;917254;35917254;20205;SAO JOSE DOS CAMPOS;EDGAR MELLO MATTOS DE CASTRO ENGENHEIRO;SAO JOSE DOS CAMPOS;;2.9700000000;1.9300000000
2018;13869;35013869;20205;SAO JOSE DOS CAMPOS;JOSE MARIOTTO FERREIRA MAJOR AVIADOR;SAO JOSE DOS CAMPOS;8.0000000000;5.0600000000;4.7200000000
2018;921282;35921282;20205;SAO JOSE DOS CAMPOS;NAJLA JAMILE SANTOS MACHADO DE ARAUJO PROFESSORA;SAO JOSE DOS CAMPOS;6.2300000000;;
2018;47934;35047934;20205;SAO JOSE DOS CAMPOS;MOABE CURY;SAO JOSE DOS CAMPOS;;1.6200000000;1.8000000000
2018;37837;35037837;20205;SAO JOSE DOS CAMPOS;LOURDES MARIA DE CAMARGO PROFESSORA;SAO JOSE DOS CAMPOS;5.4700000000;2.9000000000;2.1400000000
2018;913765;35913765;20601;BAURU;LUIZ CARLOS GOMES;BAURU;5.6500000000;;
2018;25598;35025598;20601;BAURU;CHRISTINO CABRAL PROF;BAURU;;;3.0400000000
2018;25483;35025483;20601;BAURU;CAROLINA LOPES DE ALMEIDA PROFA;BAURU;5.1900000000;2.7300000000;2.1600000000
2018;901003;35901003;20601;BAURU;ANTONIO FERREIRA DE MENEZES VEREADOR;BAURU;;1.5300000000;1.1200000000
2018;919019;35919019;20601;BAURU;ADA CARIANI AVALONE PROFA;BAURU;5.7000000000;2.9300000000;2.2800000000
2018;71161;35071161;20601;BAURU;SEBASTIANA VALDIRIA PEREIRA DA SILVA PROFA;BAURU;5.5200000000;;
2018;40939;35040939;20601;BAURU;CARLOS CHAGAS DR;BAURU;5.8800000000;2.7100000000;1.4100000000
2018;12944;35012944;20202;GUARATINGUETA;GABRIEL PRESTES;LORENA;;2.8500000000;2.0900000000
